source_feature,importance
brand_model,0.18530578790500343
model,0.16707728277742412
capacity,0.09882796352688884
is_high_capacity,0.0981255784120905
age_squared,0.09028620725348147
age,0.07651987036811887
brand,0.041348642054201155
origin,0.038991113191665566
bike_type,0.03722354943774918
segment,0.03149876104805527
description_length,0.02642151064591956
district,0.0205568919455343
is_import_keyword,0.019883827804016953
title_length,0.018828495843358623
km_per_year,0.018508922287570354
log_km,0.013426300489199159
km_clean,0.01334525521211769
is_collectible_keyword,0.0023478635985245628
km_suspicious,0.0012594707676123302
is_abs_keyword,0.000216705431468029
